Hate_Speech,Counter_Narrative,Counter_Type,Target_Group
حق طلاق با مرده ولی زن با هرزگی واهرم مهریه هر کار بخواد میکنه قدری منصف باشید من عینا برایم اتفاق افتاد خیانت کرد تا مرد طلاقش بدهد و میلیاردها تومان مهریه بگیره,اگر اتفاقی برای شما افتاده است، به این معنی نیست که همه زنان یکسان هستند. این دیدگاه شما باعث می‌شود که جامعه نسبت به همه زنان دید منفی پیدا کند و زندگی را برای آنان سخت‌تر کند.,"Denouncing, Warning of consequences",گروه جنسیتی
"خیلی سعی کردم حامی حقوق زنان باشم ولی همشون یه مشت کودن نفهمن تو رانندگی 
کیرم تو زنا",چطور ممکن است که شما رانندگی تمام زنان دنیا را دیده باشید؟ رانندگی مهارتی است که به جنسیت وابسته نیست. ضمن اینکه، بر اساس آمار، در تهران ۷۲ درصد از تصادفات به دلیل خطای مردان و تنها ۲۸ درصد به دلیل خطای زنان رخ می‌دهد.,"Counter questions, Fact-based",گروه جنسیتی
"اگه میخوای زن مدرن باشی بابد از چهارچوب سنتی خارج بشی
مهریه و نفقه و خونه و ماشین و خرج زندگی و کوفت و زهر مارِ زنِ سنتی ایرانی اسلامی رو میخوای
همزمان آزادی و حق طلاق و برابری جنستی و همه ی حقوق زن مدرنم میخوای
جریان شترمرغه
گفتن تخم بزار
گفت شترم
گفتن بار ببر
گفت مرغم",برابری به معنی گرفتن همه چیز از یک طرف و دادن همه چیز به طرف دیگر نیست. ازدواج سالم زمانی شکل می‌گیرد که هیچ‌کس چه زن و چه مرد حقوق دیگری را پایمال نکند. به جای تحمیل معیارهای شخصی به دیگران، بیایید زندگی را برای همدیگر آسان‌تر کنیم.,Positive Response,گروه جنسیتی
"وضعیت حجاب وقتی درست میشه که مردا درست بشن
الان خیلی از مردا یا مثل سیب زمینی بی تفاوتن
یا دنبال عیاشی و لذت بردنن
بیشتر زنا هم با این که کلی فاز مستقل بودن و خفن بودن برمیدارن ولی گه اضافی میخورن
تمام برنامه و هدف زندگیشون اینه که مردای جامعه بهشون توجه کنن",نسبت دادن لقب های نا پسند به زنان و مردان کار اشتباهی هست. به نظر من تغییر دادن یک وضعیت به همکاری و تلاش آدم ها وابسته هست نه جنسیت آنها.,"Positive Response, Denouncing",گروه جنسیتی
زنی که به غریبه رواست، به شوهر حرام است.,بر چه اساسی این حرف را میزنید؟  قضاوت درباره دیگران بدون شناخت شرایط و انتخاب‌هایشان، تنها باعث ایجاد فاصله و سوءتفاهم می‌شود,"Counter questions, Positive Response",گروه جنسیتی
به عنوان یک مسلمان زاده ، از مرد مسلمان و در هر کجای دنیا ، تصویری بجز تصویر پایین در خاطر  ندارم. نرینه ائی که همجنس خود رو در یک رقابت نابرابر از میان برمیداره که حق انتخاب و طلاق دیگری رو بگیره و حق تمکین طلب کنه و خون بخوره و ناراضی باشه . بیشرافت / ناعادل /وحشی /قاتل/ دزد,در هر جامعه‌ای، افراد خوب و بد وجود دارند، و نمی‌توان همه را با یک چوب راند. بسیاری از مردان مسلمان، همانند مردان در سایر جوامع، به عدالت، احترام، و برابری باور دارند و برای حقوق برابر زنان تلاش می‌کنند.,Positive Response,گروه جنسیتی
امروز باهمكارم بعنوان شاهد يه طلاق كه حق طلاق هم با زنه بود رفتيم محضر تا كارهاي ثبت رو منشئ انجام ميداد حاج اقا نصيحت ميكرد لابلاي نصيحت ها يه تلنگر هم به زنه زد گفت:اگه زن حاكم بشه ميش رو سالي دوبار ميبره:(((,این بسیار ناراحت‌کننده است که مسئول کشور چنین تلنگری به یک زن بزند. ادغام نگاه‌های جنسیتی در تصمیمات مهمی مانند طلاق نه‌تنها به طرفین آسیب می‌زند، بلکه ممکن است به‌تدریج اعتمادبه‌نفس زنان را در مطالبه حقوقشان کاهش دهد.,"Positive Response, Warning of consequences",گروه جنسیتی
برادرشوهر امروزی و مثلا مدرن دوستم به شوهرش گفته بود واسه چی رفتی حق طلاق دادی به این عجوزه، می‌ذاشتی بیفته زیر دست و پای دادگستری آخرم نتونه طلاقش رو بگیره. حالا بماند که حق طلاق رو در ازای زدن  سند ماشینش به نام شوهرش گرفته بود. از اینا زیادن.,این اتفاق واقعا ناعادلانه است. هیچ‌کس نباید برای گرفتن ابتدایی‌ترین حقوقش، مثل حق طلاق، مجبور به معامله شود. چرا وقتی پای زنان وسط باشد، برخی حق تصمیم‌گیری را از آن‌ها سلب می‌کنند؟ آیا برادرشوهر دوستت همین حرف را درباره خواهر یا دختر خودش هم می‌زند؟ حقوق زنان نباید وابسته به رضایت دیگران باشد.,"Counter questions, Positive Response",گروه جنسیتی
بنده هم صدها بار گفته‌ام که مردها خیلی هورمونی و فاقد عقل و خرد و فاقد توانایی آموزش پذیرین اما خب بازم وقتی پای مناسب و شغل و موقعیت اجتماعی نون‌و‌آب دار و ریاست بر خانواده و حق طلاق و اینها در میونه زنها احساساتی و کم عقلن و اینجاها جای مردهاست,گرفتن یک شغل و موقعیت اجتماعی خوب نباید ربطی به جنسیت آدم ها داشته باشد، بلکه توانایی های فردی را باید ملاک گرفت. همچنین، نباید کلیشه هایی مثل احساستی بودن زنان یا هورمونی بودن مردان را رواج داد.,"Denouncing, Fact-based",گروه جنسیتی
مهریه اش رو جلوش میندازم ولی از حق مسلم طلاق و چندهمسری نمیگذرم,چرا ازدواج را یک معامله میبینید؟ ازدواج یک امر عاظفی و پر مسئولیت بین یک زن و مرد می باشد وعدالت و احترام از فاکتور های مهم آن می باشند. بحث مهریه، حق طلاق یا چند همسری از همان ابتدا باعث سست شدن پایه های یک ازدواج سالم می شوند.,"Counter questions, Positive Response",گروه جنسیتی
"تو سرزمینی که تو اندازه بیضه چپ من حساب میشی!!
اما به موهیت همین تفکر و قانون مهریه و نفقه و حق طلاق و حضانت و حق خروج میگیری،،
پ ن: ازدواج برای دختران عیرانی صرفا پلی هست برای رسیدن به خواسته ها،،،،
بماند که باسم دختر میان اما 200 تا تختخواب و،، زمانیکه بکارت میگی میشی آمل،، ",قیمت گذاری برای ارزش زنان یک کار وحشتناک هست. آیا زاضی هستی یک نفر دیگر درمورد خواهر یا دختر خودت هم همچین چیزی بگوید؟ ارزش انسان ها باید بالاتر از  مهریه و نفقه باشد. در ازدواجی که حقوق معامله بشوند، به جز نا آرامی و عدم اعتماد چیزی به بار نمی آید.,"Denouncing, Counter questions,",گروه جنسیتی
حق طلاق رو بدین حق آنال رو بگیرین,مگر معامله هست؟ در ازدواج حقوق هر دو طرف باید برابر باشد و روابط جنسی هم از روی علاقه و عاظفه.,"Counter questions, Positive Response",گروه جنسیتی
